 9304                                                                                      164.83-42.44 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9305                                                                                      163.75-43.03 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9306                                                                                      162.65-43.60 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9307                                                                                      161.52-44.15 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9308                                                                                      160.37-44.69 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9309                                                                                      159.20-45.22 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9310                                                                                      158.00-45.74 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9311                                                                                      156.77-46.24 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9312                                                                                      155.53-46.72 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9313                                                                                      154.26-47.18 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9314                                                                                      152.96-47.63 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9315                                                                                      151.64-48.06 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9316                                                                                      151.31-48.17 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9317                                                                                      149.96-48.58 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9318                                                                                      148.59-48.97 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9319                                                                                      147.19-49.34 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9320                                                                                      145.77-49.69 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9321                                                                                      144.33-50.02 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9322                                                                                      143.84-49.07 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9323                                                                                      143.36-48.13 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9324                                                                                      142.90-47.18 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9325                                                                                      142.45-46.22 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9326                                                                                      142.02-45.27 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9327                                                                                      141.61-44.31 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9328                                                                                      141.21-43.36 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9329                                                                                      140.82-42.40 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9330                                                                                      140.44-41.44 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9331                                                                                      140.07-40.48 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9332                                                                                      139.72-39.51 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9333                                                                                      139.37-38.55 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9334                                                                                      139.04-37.59 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9335                                                                                      138.71-36.62 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9336                                                                                      138.39-35.66 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9337                                                                                      138.36-35.58 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9338                                                                                      139.43-35.34 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9339                                                                                      140.50-35.08 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9340                                                                                      141.55-34.81 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9341                                                                                      142.34-34.59 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9342                                                                                      141.95-33.64 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9343                                                                                      141.57-32.70 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9344                                                                                      141.48-32.46 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9345                                                                                      142.47-32.17 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9346                                                                                      143.46-31.87 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9347                                                                                      144.44-31.56 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9348                                                                                      145.41-31.23 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
 9349                                                                                      146.36-30.89 500   -0.09 -0.32         B8IVpHgMn          +0.015+0.005      +014V      50                 *
